participant,aligned,rotatedWithout
ab_1905,3.9066948286428627,12.363304773173802
ac_2605,4.277397081503906,21.48428930112791
ah_2505,2.6026579479766916,19.154795282688276
ca_0205,2.3405003380006413,18.667065785031674
cl_1105,3.0151659506469386,15.502301903686124
dp_2005,0.4471788178517073,19.16096806855967
dr_2705,0.1276931299770503,16.323718435631164
hf_1805,4.7998437665377125,13.328927276536845
ho_2405,2.8730101735738742,7.8278392405182124
hr_1305,-0.18951139495293745,17.11557887889639
jm_2605,4.472922861302223,17.273454636591698
jw_2505,3.8486084917923016,14.467931890320124
ka_1905,-0.3904360025971769,5.437746489173989
mi_1905,7.363724947640833,12.8316419231042
mr_2405,4.675125919664751,26.42818128368262
ns_1905,-1.899592492441954,22.489911381009534
ps_1705,3.085542135086129,15.416568028941896
ra_2505,5.3743563356378985,23.524378703803954
sj_1805,5.471561467347726,27.714315207312325
sk_1705,2.5156844952540354,17.218924325363197
so_2405,4.1074573258156875,11.992467508436583
