participant,exclusive,inclusive,awarenessRatio
ab_1905,8.355588829930262,27.03141681928203,0.7638797440857713
ac_2605,10.650242688168213,26.57767424139989,0.7139178453546697
ah_2505,16.088127334177912,31.865368336164305,0.6645056401148263
ca_0205,14.580374800858475,34.99596709902228,0.70590055171268
cl_1105,11.733917324922828,40.669337484475136,0.776084188518411
dp_2005,17.156124826278166,12.964896841774735,0.43042686216469295
dr_2705,16.941678666731825,37.47518225438518,0.6886685784523554
hf_1805,10.466204342077603,11.330114276163378,0.519817794674803
ho_2405,4.667336224035081,28.708262157379842,0.8601572271245309
hr_1305,15.069298690222476,23.589220523239206,0.6101946221216089
jm_2605,12.878687609370548,20.760168810631527,0.617148471143843
jw_2505,9.458838396874228,27.671733096380798,0.7452547047762925
ka_1905,5.5789944713833854,35.601864369987524,0.8645245721349881
mi_1905,6.059269766690505,18.993232796022717,0.7581371461185362
mr_2405,21.19941418800376,35.589021204884034,0.6266948712121274
ns_1905,23.942260329893287,37.13724819925635,0.6080148497189191
ps_1705,12.147809541498276,28.550762498145247,0.701517548830328
ra_2505,17.38571228629487,38.26973833332131,0.6876188748318723
sj_1805,22.537753307785316,39.21783882299954,0.6350491910100178
sk_1705,15.112943749213038,33.92346263001811,0.6918015640800717
so_2405,9.856650057633534,23.260340286069713,0.7023687854682228
