50 deviation,90 deviation,130 deviation,type,participant
5.891654312017748,-3.2315351554214438,-9.994856028386973,active,ag_1606
9.268440399696141,17.65466283968061,18.835697800960865,active,ak_0106
-7.061162917253643,2.00625999223881,8.983003864786896,active,ap_1705
-9.144609222472116,-8.45415061749337,-3.975034655668276,active,at_1605
1.3370238396094054,-4.063314516307607,-5.646249011850757,active,bg_0705
0.738138947225109,-7.218134448842085,-7.874788292837849,active,cn_2205
-8.567067874989489,-11.602795196657757,-15.76941838651157,active,da_1505
-10.290999447578491,-9.314678257871453,-4.642411920739542,active,fm_1406
-6.77680714066055,-9.088389557830773,-7.825124725563393,active,he_0906
1.4858712810188295,2.906802888315434,3.1923330073038825,active,im_1705
-0.2601861271509875,-4.293450374579876,-3.123347457656193,active,mb_0206
-3.5749719375758913,-3.841779562034664,-1.8555219332460215,active,mp_0906
-12.361651751439537,-16.61447715278278,-8.199178432509134,active,mw_0706
-2.5493374380812504,-4.121883629309078,-0.0834695435862172,active,nj_3105
2.6446358426404735,1.1033703917732522,-0.9750424258401245,active,ns_2405
7.0241094566256566,3.3692606913341607,-3.133595496613395,active,pa_0906
6.224810378195598,7.395910166269376,3.516814404059716,active,rr_2206
-12.672261563432993,-5.230993328670465,-2.54301124115156,active,sa_2106
2.0799953312882713,-3.1124580041530066,-8.249173344579617,active,sd_2505
-7.825914823957341,-6.8032880709702,-5.245814939462012,active,sm_1805
-21.907312380948884,-22.091921751525746,-7.857267317436421,active,tp_2405
9.96977578095981,-2.0276182484870753,-11.88023263073495,active,vb_0706
12.664948187215082,2.1751456436143566,-2.0512926493627597,active,ym_2206
-1.330202383202496,-4.913657993069871,-0.008037797512214907,active,ys_1605
