participant,exclusive,inclusive,awarenessRatio
ad_0206,7.827910932729456,53.219101136685154,0.871772414940987
ap_0106,18.08634281854372,25.32184830379279,0.5833426284092025
cg_2206,6.90389625328079,34.057046796739165,0.8314517259807711
dd_1506,21.84037868436195,29.303494423893312,0.5729619726270468
ej_2106,22.18237644417136,55.61917825959052,0.7148851776981419
ho_1406,10.721999001396497,10.87856738828549,0.5036241731828796
id_1105,18.785705099445217,9.627378519576425,0.3388361027147087
jl_1406,11.12979364421416,47.15541368818486,0.8090459971988907
mb_1205,15.312201048396007,50.75708616065902,0.7682402566271758
mc_0806,22.87897659396735,35.6655248586645,0.6092036651387551
nb_1505,6.18154854733254,53.444960462811544,0.8963288535593977
pb_2306,20.224018289971134,20.67906914575216,0.505562548994573
rd_3105,8.982988418874532,40.16764121283407,0.8172355372416363
sc_0106,18.584255802772212,22.41122037640104,0.5466754497118517
sh_1005,15.704845284033487,44.71612155460264,0.7400762333715084
ss_1005,13.98360692551455,15.37313610679712,0.5236662694453736
ss_2505,14.738201881188786,32.85263452311857,0.6903142916846307
ts_1505,18.8638709112317,33.76938521833084,0.6415978736942246
ud_2605,19.65389097913718,51.84367364513048,0.7251110428387059
yl_1005,20.30431011398961,-5.993044111125393,-0.41876407788982195
