50 deviation,90 deviation,130 deviation,type,participant
5.644143114211569,-3.2908621743649076,-17.28116887540738,passive,ag_1606
6.455171578497716,16.53414133574498,23.4917700090365,passive,ak_0106
-7.587087798328123,-0.31848955574417104,8.424871995981988,passive,ap_1705
-6.120315721967005,-8.140646976981083,-0.8387517336324781,passive,at_1605
4.912395514097156,-4.873821479543233,-5.274010814289609,passive,bg_0705
-0.5544837104860418,-1.1663987082766931,1.7419737516039382,passive,cn_2205
-20.70691841944924,-19.01935798310544,-7.199720628977449,passive,da_1505
-11.252507980214,-6.958063380022289,12.360973850997368,passive,fm_1406
-7.05307460264446,-5.544924440081142,-2.838519082925307,passive,he_0906
-8.99493882368792,0.7342935456765421,8.026306979508087,passive,im_1705
-0.716620684237447,-0.02736163957466971,7.967304049120031,passive,mb_0206
-9.018191552820255,-10.474081303799778,-10.065157723059418,passive,mp_0906
-12.978254826880077,-26.10204014563248,1.9338795074436999,passive,mw_0706
-3.2066764126301135,1.8280318412439267,9.673207565240483,passive,nj_3105
-0.21318053729869307,4.913489372713857,10.044160145288037,passive,ns_2405
2.9883341032476456,0.49893347483886374,-4.008137875647888,passive,pa_0906
0.8372220790700609,7.91374921785038,9.004834759431075,passive,rr_2206
-5.60325596004137,5.438445310698873,8.750867269243871,passive,sa_2106
-1.881127188420003,-7.618504567964313,-7.588697267369643,passive,sd_2505
-8.383721303881929,-9.818514599719519,-3.721969003505586,passive,sm_1805
-9.253515714974766,-10.244858378523352,-7.775264019311966,passive,tp_2405
2.774932793465235,0.22140506116081793,-5.658763169115204,passive,vb_0706
-0.258794555104657,-0.7624736862482195,3.491145629055396,passive,ym_2206
-15.157815603520763,-7.66578984113271,17.414739240788034,passive,ys_1605
