50 deviation,90 deviation,130 deviation,type,participant
-23.830544641244504,-14.275099941967646,-10.227671783603233,passive,ab_1905
-21.64056291728758,-18.77833025804995,-9.62266511416002,passive,ac_2605
-22.07013779606322,-21.826265780226482,-15.738212278173252,passive,ah_2505
-8.19271986839694,-12.05865677374249,-10.438409392565873,passive,ca_0205
-7.073655091712147,-6.9033597803845925,-10.374516768936072,passive,cl_1105
-6.682999121555739,-11.611950396957306,-14.79238434169366,passive,dp_2005
-25.26050963694797,-16.422718133854108,-3.146252485173795,passive,dr_2705
-1.535226112882717,-7.731093701511357,-9.754820599446784,passive,hf_1805
-1.3390696596876646,-3.63210272391974,-9.379286684386551,passive,ho_2405
-9.872158789216542,-6.990513748221121,-3.6132225304498284,passive,hr_1305
-18.439897034009228,-9.895672478818248,-1.8050553728528094,passive,jm_2605
-1.0998610408516742,-3.856581477988902,-14.86496160799218,passive,jw_2505
6.989460543498471,-15.718848164579342,-19.576264635409697,passive,ka_1905
-6.007690174176715,-13.052442226959801,-7.483460140441489,passive,mi_1905
-29.77127432938216,-28.981419686220644,-20.34790839302066,passive,mr_2405
-6.171625193442235,-15.79021837063638,-13.654379040615007,passive,ns_1905
-10.684568421638962,-19.27612989530595,-26.294338140071172,passive,ps_1705
-17.362153863784393,-16.93239733807656,-8.608775639329178,passive,ra_2505
-26.180686185698022,-38.841708228927246,-16.046872678730324,passive,sj_1805
-6.72274479154185,-1.7336243992540998,8.975957812319805,passive,sk_1705
-15.426250408736047,-15.473725107076419,-8.288386789663104,passive,so_2405
