50 deviation,90 deviation,130 deviation,type,participant
-4.972811818574872,-15.440697544187627,-15.999288954915698,passive,ag_0906
0.5884945863418403,-4.297341630239322,8.822897264624016,passive,as_1601
-3.8502291104316195,-4.693886148955158,-4.962933427523394,passive,ay_1506
-8.989969945202972,-5.190305358253125,3.4268764430005216,passive,az_1306
-7.804420096398302,-6.559015716781691,-5.983355081129938,passive,bd_3105
-19.78970950614706,-22.699259519145837,-6.29588985148335,passive,bh_1506
-20.2413395676122,-15.80153714703852,-5.610754903001658,passive,cf_1706
-10.19947151403969,-7.733931325256425,-7.0852732945081245,passive,ec_1706
-4.5453984449047375,-10.877623693179451,-8.50246095298279,passive,fs_1011
2.05279101317093,-2.3874235429499824,-5.2182965091022995,passive,gs_3105
-20.246263270292186,-16.900072071787353,-8.790713611057273,passive,ja_1606
-6.210970728424892,-11.796204113260416,-22.205587587815486,passive,lw_1306
-14.414159138943406,-11.674614347474968,-7.686237313334014,passive,ma_1506
-4.952046231046208,-13.886159860129561,-19.984372219354558,passive,na_1601
-28.78075987100592,-17.330190882489685,-1.4786729803079848,passive,nj_1406
-17.846915210413787,-8.898125352025504,0.6996241759140299,passive,pa_0416
-17.799874258866424,-17.5744668972709,-22.78991680353359,passive,pe_0416
-12.964463964756975,-10.134811357549532,-8.77822024675742,passive,sa_1406
-22.112863851747083,-26.906372253991773,-11.365708219458538,passive,sm_1601
0.19719347716541488,3.2988909476252988,6.968752438221719,passive,zw_2609
