50 deviation,90 deviation,130 deviation,type,participant
-0.8419501215155627,-3.675315467642722,-2.5976945523233566,active,ad_0206
-6.162001359599588,-15.75534531892938,-12.734501463662452,active,ap_0106
-7.292076526437989,-9.26961441947163,-11.955891737194047,active,cg_2206
-5.67068534686765,-7.9761433611462795,-4.209197204402677,active,dd_1506
-10.993216917370882,-13.55653902248323,-18.55646120212741,active,ej_2106
1.1871608492348624,-6.433770435919284,-12.690322995460498,active,ho_1406
1.4580421235655954,-14.366466858234187,-8.82124754376122,active,id_1105
-5.9704209016034016,-7.672812877334566,-1.209361414212328,active,jl_1406
-2.782747280121918,-7.870484276951778,-5.8991800494814175,active,mb_1205
-16.48003465738995,-4.916903330544017,-1.4767600336612339,active,mc_0806
0.01299701140577958,-5.626137507825977,-4.52152640913914,active,nb_1505
6.257048821772388,-8.515031665080791,-9.664088489555413,active,pb_2306
8.121855050613492,3.21360620464501,-3.6061424271621334,active,rd_3105
-7.419147548854472,-18.67591315819129,-19.912219392080384,active,sc_0106
-8.47774656726813,-15.03841327995055,-11.742912693691787,active,sh_1005
9.096824190955045,-6.1729608512424115,-12.852603467009189,active,ss_1005
-4.772685443834653,-3.190416865970466,-11.992597604709307,active,ss_2505
-12.34394214173833,-16.104463008154884,-4.067259172225988,active,ts_1505
-1.9316216229336924,-9.064754855907903,-10.015455620633107,active,ud_2605
-25.71563583646585,-23.112737547454277,-16.7247834158673,active,yl_1005
