50 deviation,90 deviation,130 deviation,type,participant
-15.183764549122353,-2.81612630137228,4.323580766824663,passive,ab_1905
-11.370857147311398,-7.005660729007253,2.754918521312915,passive,ac_2605
-4.202504502992011,6.6954274067964015,16.775766410310066,passive,ah_2505
-10.45191625205573,-12.821353397298783,-10.571256421463156,passive,ca_0205
-1.4028145282759061,-0.5883287139272085,-2.4505788407350235,passive,cl_1105
-7.198773103883437,-6.975955104202319,-8.199247115792803,passive,dp_2005
-17.76641610344324,-3.1390628720066274,4.5025901887881155,passive,dr_2705
-7.588750359203361,-7.3469609108226575,-2.6206377969924404,passive,hf_1805
-2.7151261862656897,-5.391902907748268,-7.284491232232821,passive,ho_2405
-1.328263910233466,3.174565561076744,3.4675165350738846,passive,hr_1305
-16.278408416914093,-10.720098180590236,7.635429026384653,passive,jm_2605
-2.9530863328963695,-0.8815455827710194,-0.8377233122169737,passive,jw_2505
2.1522061544975157,-13.161755394161162,-5.717315658971714,passive,ka_1905
-14.27398212354089,-15.971115167447458,-7.46609363899552,passive,mi_1905
-20.599562039898476,-8.991269256023164,-1.9994319918223598,passive,mr_2405
-7.3380231902266715,-6.177806818428703,5.5893767144564475,passive,ns_1905
-2.294184360342573,-9.987283773662938,-7.813708079560214,passive,ps_1705
-10.782851009577538,-10.218506922607167,-3.74032467407091,passive,ra_2505
-23.31028181450414,-23.13852365237912,-1.6144543532559732,passive,sj_1805
-2.157974458744735,5.596126004402615,14.158033460177588,passive,sk_1705
-14.147947946159794,-8.34116141558011,-2.474317645282241,passive,so_2405
