50 deviation,90 deviation,130 deviation,type,participant
-7.078172799342259,-5.959810105154409,-4.363819610444816,active,ar_1908
-13.609035508530443,-11.760016451571618,-2.2358251320210227,active,cp_1201
-13.50051872764366,-15.043682205074653,-5.830246777009889,active,cr_2106
-18.609559915510438,-9.832569334785584,-1.8703403969282884,active,cr_2206
-12.702075185523778,-13.884299745539753,-20.15136592925203,active,fk_2510
-20.434254653637954,-8.275011064629117,4.816085290609608,active,ja_2610
-25.777187709539554,-23.713871991783336,-10.90492133777677,active,jl_0211
4.339227586701287,2.537015218326585,1.7919505408361724,active,jy_2206
-2.4306635592038175,-4.101714079368515,-1.0994058017129757,active,ls_1201
-0.2998667484443513,-5.986933904922801,-8.947235773686101,active,mc_2110
-1.4353539741724293,-8.72963369308255,-17.50070560265961,active,ms_2410
-5.911774213113493,-11.44925615457517,-14.13264111196362,active,ns_1311
-11.016154637971502,-9.539443348104951,-3.718875393539425,active,oi_2006
-0.5614240873122703,-3.404148112608572,0.3039361961567596,active,pa_2006
-6.344618674269856,-7.6047843109838515,-5.650762888126421,active,pn_2106
-7.574851108110158,-2.9615048129285055,-6.25917897374355,active,ps_2610
1.856379805577652,4.730188548009806,4.733508249754537,active,rk_1201
-7.903880629952556,-17.133460249873703,-17.07553188015372,active,sk_2410
-8.601572373327368,-8.856431718536195,-12.604805473524085,active,sm_2510
-32.59745147538299,-28.18950163548298,6.501485256749868,active,va_0202
