participant,exclusive,inclusive,awarenessRatio
ag_0906,16.768309010559577,18.260931190091636,0.5213053747523806
as_1601,13.344839792892753,10.392269238604968,0.43780686286670584
ay_1506,15.76473283094073,16.005620964317046,0.5037910835826492
az_1306,8.086715575361994,11.851368352666421,0.5944085898849132
bd_3105,16.202239012585004,7.3891664347648724,0.3132143377916015
bh_1506,13.04614183045777,26.70233246917573,0.6717825763043674
cf_1706,10.416001513967268,14.255170664692159,0.577806784430895
ec_1706,19.441339662017278,23.1246555905116,0.5432659439376728
fs_1011,14.357035864600093,15.931289455890195,0.525987795208755
gs_3105,19.278570062796717,14.092729783212462,0.42230089472819227
ja_1606,20.726691959982425,20.628317328802865,0.49881060803913013
lw_1306,12.973930310883851,15.756008338396445,0.548417750930044
ma_1506,14.83476103010627,10.125245789061722,0.405658774952179
na_1601,16.47878720916269,20.21873691095287,0.5509564308691353
nj_1406,19.77808812807908,25.916469804227773,0.5671675354124474
pa_0416,4.556019172748309,3.378035638102274,0.42576409145579447
pe_0416,14.63273706047017,12.808640069883904,0.4667637491019254
sa_1406,14.505668321025148,13.98448234412042,0.49085322532986214
sm_1601,15.084246358108878,11.255014526605699,0.42730942891177726
zw_2609,8.220870544866493,36.657577814807794,0.8168191894920015
