50 deviation,90 deviation,130 deviation,type,participant
0.7273193736160364,-3.24210776727213,-1.5351847479270797,passive,ar_1908
-0.7391577062880232,-3.5460553568540294,-8.065346857890791,passive,cp_1201
-14.531179597602463,-10.565604725487958,-1.7475159938557905,passive,cr_2106
-4.888172241116552,-6.967265168320508,-6.2118174996012225,passive,cr_2206
3.5383515576190234,-7.006432462200298,-21.814954489121142,passive,fk_2510
-1.3728031493349526,-5.777916578583368,-7.6583642251292385,passive,ja_2610
-8.420273985684023,-10.123505168101751,-14.555875709483946,passive,jl_0211
-0.8534798359322213,-1.029374136322419,-3.74088758844352,passive,jy_2206
1.49965538259011,-1.2159002064628779,0.18743179700248502,passive,ls_1201
-3.286137985220285,-6.760373509109618,-11.630949883837651,passive,mc_2110
-0.8511992056209323,-4.646630786111325,-8.260808362716062,passive,ms_2410
-6.84326984246189,-11.375987163629791,-11.685358243876033,passive,ns_1311
1.9019436128217002,-10.780431189440229,-13.370028102525707,passive,oi_2006
-5.16238350554681,-3.4858343487882406,7.245525769936744,passive,pa_2006
-9.555366692713315,-7.796559758178573,-0.5296416218686781,passive,pn_2106
-2.239800439877145,-2.447344514978219,-6.853119330090086,passive,ps_2610
-0.44102235905576975,2.8270719207161763,0.3326665641882336,passive,rk_1201
3.2122996362876175,5.5715563058909545,-1.7982396815453807,passive,sk_2410
2.0042850254809803,2.841918565953044,0.4003767132226752,passive,sm_2510
-9.699865248494877,-24.359014542504305,1.4311556805307113,passive,va_0202
