participant,aligned,rotatedWithout
ag_0906,3.670457819884689,20.068492783415167
as_1601,-1.2048430861278234,13.921362152039578
ay_1506,1.1762198886053383,15.535582921155253
az_1306,3.3830452964779276,11.901869079059004
bd_3105,4.009052975941323,19.41351937717033
bh_1506,5.562194557266398,18.635552974543806
cf_1706,4.117054440840832,16.632383691872857
ec_1706,-0.49285237450004615,19.72389384833619
fs_1011,4.83128287439385,18.736593631073088
gs_3105,1.0066009434314687,21.13109714023696
ja_1606,5.678374695420597,26.672474299486076
lw_1306,2.246756050941233,17.801118130997438
ma_1506,3.185683719005354,18.43848063544671
na_1601,4.159062388904694,19.32302394536549
nj_1406,1.5364104793875697,21.059403082957154
pa_0416,0.6963359510313936,5.585658035998435
pe_0416,8.779975903749573,23.47751471248521
sa_1406,2.505302823108387,16.29492390696087
sm_1601,7.925581421164679,25.591163035409835
zw_2609,2.61201944428052,14.420651393692118
