50 deviation,90 deviation,130 deviation,type,participant
-11.303551212324397,-1.376840541478264,5.281636440769549,active,ab_1905
-9.579628279527439,-5.589954746918288,0.024273894806716583,active,ac_2605
-12.83549249100208,-1.2818245647805506,9.452869051481706,active,ah_2505
-10.42212228935484,-17.034088782161906,-11.108732996079626,active,ca_0205
1.4442044732093078,3.2689971920696332,0.040028025871599225,active,cl_1105
-6.011397906841183,-5.3224801272797375,-6.695461875305826,active,dp_2005
-11.009898614605959,-5.015304125516242,1.6463769229950094,active,dr_2705
-8.455372516042274,-2.5729123579804525,-1.436166913841901,active,hf_1805
-3.497763790872269,-5.194945605605948,-7.708557135508294,active,ho_2405
-3.847862875633867,-0.9458580917409791,-0.7295788873341131,active,hr_1305
-4.961466696213354,-7.88942047024669,-5.018416040068949,active,jm_2605
-4.652490431885486,0.29899198837093993,3.857784070654993,active,jw_2505
2.7938182831609963,-10.605467602897141,-0.6593377077289799,active,ka_1905
-17.41581852266893,-15.025620914475983,-4.435182775938912,active,mi_1905
-6.350396664021391,-5.306577093128363,0.23178367930420268,active,mr_2405
-5.423181389457102,-4.802231038084898,7.013336452280314,active,ns_1905
-4.886135431392198,-7.611341070416132,-6.517723976534737,active,ps_1705
-7.980618964870849,-4.026434737846082,-0.7101325211180723,active,ra_2505
-12.278524249569516,-15.9095240932372,-5.385686756285317,active,sj_1805
-1.720799042977323,6.321916613847743,10.851502452097973,active,sk_1705
-11.412151199145338,-2.3830595825120096,3.9803479507862183,active,so_2405
