participant,aligned,rotatedWithout
ad_0206,2.5999820974118713,12.230718950469313
ap_0106,4.1960539992856525,19.348884267891563
cg_2206,2.960061885397664,9.237643694828023
dd_1506,6.6899544391771,29.540016316032165
ej_2106,0.5996127610113007,25.14450381037286
ho_1406,-3.466641440924313,8.223622377658131
id_1105,-3.568348016634957,17.766843970854097
jl_1406,0.7983828496575498,8.594455552361666
mb_1205,5.021811467325811,20.324838487064618
mc_0806,3.0414128467603803,27.634087573229678
nb_1505,1.4862675934904033,10.062220534324354
pb_2306,3.5924213150867246,27.00988923855204
rd_3105,-3.2203690562136558,4.624498318375458
sc_0106,8.06263024675237,22.071026904697476
sh_1005,-0.2528854184751381,15.723414334781872
ss_1005,6.403646324082516,19.956365241905473
ss_2505,7.3990719774743035,22.6185336100323
ts_1505,-0.9998053244368634,16.86905802688638
ud_2605,3.072723184218237,22.891526638033824
yl_1005,6.055630930420488,26.690800500727846
