participant,exclusive,inclusive,awarenessRatio,active_means,prop_means,pred_means,awareness_score
ag_1606,3.753979568511369,51.77450343520909,0.9323954236556428,-5.71673275969789,-6.055629473863895,0.33889671416600553,0
ak_0106,3.5722726689546387,50.478729229576395,0.9339092238167797,-4.444049857574284,0.6284562765748607,-5.072506134149145,3
ap_1705,1.5686805342647414,57.53090539142464,0.973456996192204,-2.09412474975963,-2.7576239865030616,0.6634992367434318,3
at_1605,8.442943367964133,45.51823809281349,0.8435367214096119,-4.821377038499544,-3.399585539300118,-1.421791499199426,3
bg_0705,18.21610706582802,11.277492319116135,0.3823708382257695,-0.5830042643719766,0.012496691918572722,-0.5955009562905493,1
cn_2205,10.70590211056968,48.70434141163974,0.8197970337124191,-10.006594868935856,-4.285419979845158,-5.721174889090698,3
da_1505,17.202488402133184,45.22526887263287,0.724441672212905,-6.177761663195469,-5.5835716996398395,-0.5941899635556291,1
fm_1406,7.557803552361982,52.862149892202176,0.8749121255232953,-9.97703743754053,-2.134683390209237,-7.842354047331293,1
he_0906,11.135439638290892,50.37056037175238,0.8189536039333952,-9.28829028510159,-1.394703823567209,-7.893586461534381,0
im_1705,14.326326610737036,36.61444962351166,0.7187650509121001,-5.648131098461676,-4.062087558142868,-1.5860435403188085,3
mb_0206,21.511642959670148,49.15874081111362,0.6956059694052009,-5.83081185686238,-7.43446749487908,1.6036556380166997,3
mp_0906,16.84657849364934,51.01523471150478,0.7517517187063633,-5.16524471689172,-6.590645011315018,1.425400294423298,3
mw_0706,19.49905898951082,36.90568121314036,0.6543010583958986,-10.738128955648532,-5.7985713694247325,-4.9395575862238,3
nj_3105,3.921723440092984,37.100543254357596,0.9044001281230152,-4.8959005734495245,-1.898597799086301,-2.9973027743632237,3
ns_2405,17.46560980991339,44.82702291349774,0.7196199767721588,-6.85276386899383,-3.058537979293694,-3.794225889700136,3
pa_0906,12.279063688462836,43.60993635619046,0.7802955200727816,-6.887576757412096,-5.523753791588548,-1.3638229658235481,0
rr_2206,9.721363115898823,49.517675360846006,0.8358960009164381,-8.337074031710111,-1.0229848009981948,-7.314089230711916,3
sa_2106,15.345773037690376,46.27660893170528,0.7509707910136977,-6.0415018375092915,2.5096677869142763,-8.551169624423569,3
sd_2505,5.760981745175662,49.58299721908524,0.8959058988350677,-4.7563633824190115,1.480417532955008,-6.23678091537402,1
sm_1805,7.219536115774844,45.4827528152985,0.8630128546178154,-4.646352799260985,-2.8607516900832675,-1.7856011091777173,3
tp_2405,10.298187147934827,41.908695117338034,0.8027427285236489,-11.081123793808038,-2.5123810260710067,-8.568742767737032,3
vb_0706,29.93978287381687,19.911187196099668,0.3994142374395926,-10.651190724226081,-8.535278170416708,-2.1159125538093733,3
ym_2206,26.297786009931034,33.85450642046514,0.5628132370788544,-4.684396643684181,0.2798240821182724,-4.964220725802454,3
ys_1605,16.703360695037162,38.19342381726254,0.6957315288421902,-10.59857434450718,-14.304754835992265,3.7061804914850853,3
