participant,aligned,rotated
ag_1606,4.8714493933958085,35.178075006165365
ak_0106,-1.3778633573962504,26.236800692281378
ap_1705,2.410837790941347,32.06692949782354
at_1605,5.887199632101814,34.278252624336766
bg_0705,9.625036282089452,22.156370427746715
cn_2205,0.5621625136986311,29.437001418414795
da_1505,10.424660831347959,32.02707257219348
fm_1406,3.6912221425505223,34.57850187682076
he_0906,-1.1086598086185824,27.991632514573485
im_1705,-1.8051489348089904,22.894352470207725
mb_0206,2.6226912690039357,40.18136169479564
mp_0906,3.6788163471874427,36.986824074391876
mw_0706,6.801394438002878,40.441793054623425
nj_3105,6.272455944310634,28.219623166023396
ns_2405,5.806633549295169,33.84058292540112
pa_0906,1.2617862963893902,29.39027569511221
rr_2206,3.438615106032088,34.431147231082896
sa_2106,0.5715094539834613,29.938579261535462
sd_2505,2.6946377171744724,28.874185292460375
sm_1805,0.7376076611261495,29.448372414447782
tp_2405,7.775324379061292,33.72946362827126
vb_0706,-1.3269471871311367,22.554543685328802
ym_2206,-3.3121782830428077,27.092575061688063
ys_1605,-1.3084923427924526,29.909286389933264
