50 deviation,90 deviation,130 deviation,type,participant
-2.6059235556576184,-6.771681364749873,-7.77259335868618,active,ag_1606
-6.613111564495508,-1.4359738380888487,-5.283064170138495,active,ak_0106
-1.374558109242586,0.63964443232822,-5.547460572364523,active,ap_1705
-6.690822369526158,-4.45184283650373,-3.3214659094687433,active,at_1605
4.570042300869499,-0.38253403965127086,-5.936521054334157,active,bg_0705
-4.112167356824709,-14.280580786322389,-11.62703646366047,active,cn_2205
-15.137760929146394,-3.437837810601293,0.04231375016128425,active,da_1505
-9.268453215676388,-10.012979903001215,-10.649679193943985,active,fm_1406
-10.561594979759471,-12.300533862439279,-5.0027420131060225,active,he_0906
-9.239019324104545,-4.7073990907957,-2.9979748804847866,active,im_1705
6.224709059579619,-8.501361703362521,-15.21578292680424,active,mb_0206
-4.099974043915098,-6.719639606723789,-4.676120500036272,active,mp_0906
-11.240658459330458,-12.38927112094,-8.584457286675137,active,mw_0706
-5.436564794161184,-4.5243629392168705,-4.726773986970518,active,nj_3105
-6.976974516662642,-6.973228780567553,-6.608088309751295,active,ns_2405
-10.460519799236174,-3.591511946215761,-6.610698526784355,active,pa_0906
-13.40788584871703,-10.141440026705238,-1.461896219708064,active,rr_2206
-7.533463363171469,-7.3803118670913435,-3.210730282265066,active,sa_2106
-1.0191377226509402,-3.6633829383848817,-9.586569486221212,active,sd_2505
-3.6941024843558044,-4.132316333228104,-6.112639580199046,active,sm_1805
-7.121881274748443,-18.432621953806937,-7.688868152868733,active,tp_2405
-5.018376191943142,-11.826303226012577,-15.108892754722529,active,vb_0706
2.748136260287872,-10.809655002924192,-5.9916711884162215,active,ym_2206
-7.995277515331088,-15.176478093235954,-8.623967424954499,active,ys_1605
