participant,exclusive,inclusive,awarenessRatio
ar_1908,0.9826474754304735,5.920413899808886,0.8576504796907732
cp_1201,9.429364374951719,23.026314375487015,0.7094695061700333
cr_2106,9.074080216787037,26.915826680957018,0.7478715284657814
cr_2206,15.402741636450079,41.13108795218416,0.7275482353039338
fk_2510,9.834145251735848,19.725861621373603,0.6673158672137554
ja_2610,3.9820281963158046,32.965129349835536,0.8922236929500793
jl_0211,11.883671580634974,18.555562849352075,0.6095936115617994
jy_2206,4.430982417476569,21.164054485732745,0.8268811866053228
ls_1201,1.0734257883945848,15.161789963524527,0.9338828750540197
mc_2110,19.786364937677423,42.952998480425585,0.6846259850324173
ms_2410,10.624419246608154,44.77772113037058,0.8082308882957359
ns_1311,9.218927166090808,23.74477973017643,0.7203309932617211
oi_2006,10.594618576641821,33.41303818632281,0.7592551079529892
pa_2006,13.441390823682523,33.13010645718341,0.7113816044474703
pn_2106,13.282577726225865,13.222853715072583,0.4988733627806521
ps_2610,13.712515883947892,28.35352563011516,0.6740240966252155
rk_1201,-0.9489899657332614,28.49087233667221,1.0344562493206564
sk_2410,5.755784190944494,6.599882165850682,0.5341583347482495
sm_2510,1.7865530691267528,31.432854242016322,0.9462195983091044
va_0202,15.590243967397708,35.16695291866437,0.6928466321259994
