50 deviation,90 deviation,130 deviation,type,participant
-24.473618265841726,-14.051638117596537,-10.276955625909812,active,ab_1905
-20.50603074719264,-22.397037528240592,-16.46210736670899,active,ac_2605
-25.92225560676597,-26.038439511035683,-14.587377800283338,active,ah_2505
-9.862718961305536,-14.983871083900857,-11.800223810479709,active,ca_0205
-3.489944279018484,-3.7161664698516477,-7.383777846363831,active,cl_1105
-18.18247097750413,-15.5898698795718,-17.88281329907283,active,dp_2005
-25.36568391681128,-16.25598052982058,-5.27247172201876,active,dr_2705
-3.7743750469604307,-9.137505594592382,-11.072552111654614,active,hf_1805
-0.9157878202345032,-3.4393216494264816,-7.7058787493752545,active,ho_2405
-14.807676060928491,-9.89835490370936,-3.7888995190949943,active,hr_1305
-25.472523071991684,-13.459764703320447,-8.031458558545385,active,jm_2605
-14.195541481690718,-9.507009566011346,-12.189663489186929,active,jw_2505
-2.7744274167455023,-14.224458117420197,-13.593766955178674,active,ka_1905
-7.0595133692630645,-10.599938532871871,-7.134147835987413,active,mi_1905
-22.440747966023572,-27.657257791334704,-24.103252322988617,active,mr_2405
-15.734987593018657,-13.355635524043933,-13.876534532191572,active,ns_1905
-12.541422998054593,-23.194285616050102,-27.73803412442587,active,ps_1705
-21.591488939295036,-17.122838467044577,-8.93902115191445,active,ra_2505
-32.12642003310528,-27.379212403682544,-18.918941583608945,active,sj_1805
-7.645291562792701,-3.7934231114342105,6.500271637227616,active,sk_1705
-19.307898455469665,-12.21014407525635,-6.966674071290383,active,so_2405
