50 deviation,90 deviation,130 deviation,type,participant
6.925952213401779,-0.155079688261754,-0.9948894971941673,passive,ag_0906
0.09743989057614416,-4.4728563080161,1.4936789274191469,passive,as_1601
-7.447194002214137,-6.535423251320391,-9.28820297739891,passive,ay_1506
6.925920948635502,0.2507265022300196,-11.898015658747473,passive,az_1306
-1.275374163715541,-0.7198107499614839,-4.726887444092268,passive,bd_3105
-15.222556755330029,-17.62310977365953,-8.290481651398474,passive,bh_1506
-7.414170858711046,-4.51764732153439,-0.5094571481650876,passive,cf_1706
-18.534569563161597,-12.845633370023336,-15.877664091827555,passive,ec_1706
-7.726797433984446,-9.296570538500475,-9.737984218195676,passive,fs_1011
-0.5002636612912394,-13.817719863850586,-14.979799649921372,passive,gs_3105
-8.875296500186211,-7.081875674089089,-5.19742890191468,passive,ja_1606
-4.549291691823591,-6.3729382234278065,-11.179378836135305,passive,lw_1306
-4.707748214983944,-5.642235927997863,-10.467231974516531,passive,ma_1506
0.3547350442108437,-9.347771762146055,-7.232599785321625,passive,na_1601
-1.9601830114595202,-3.0682822956357505,-16.21926540193962,passive,nj_1406
-1.3046097153746672,-4.312482578415699,-1.9436567760146861,passive,pa_0416
-2.0476777878127788,-1.796035283921702,-6.3907937945225655,passive,pe_0416
2.9489180413300673,-6.846386189438352,-10.501918231377864,passive,sa_1406
1.4019362332613916,-5.590075979786278,-7.8495483859400625,passive,sm_1601
-2.590737785090536,-0.9307421937655618,-4.200994833773095,passive,zw_2609
